Country_Name,Country_Code,2010_Preparedness,2010_Stat_Capacity,2011_Preparedness,2011_Stat_Capacity,2012_Preparedness,2012_Stat_Capacity,2013_Preparedness,2013_Stat_Capacity,2014_Preparedness,2014_Stat_Capacity,2015_Preparedness,2015_Stat_Capacity,2016_Preparedness,2016_Stat_Capacity,2017_Preparedness,2017_Stat_Capacity
Mauritius,MUS,,70,,73.33333333,,80,20,75.55555556,53,85.55555556,51,93.33336667,80,91.11113333,80,85.55556667
"Micronesia, Fed. Sts.",FSM,58,27.77777778,65,27.77777778,80,37.77777778,26,37.77777778,70,36.66666667,100,35.55556667,100,32.22223333,100,32.22223333
Monaco,MCO,,,70,,60,,70,,100,,,,92,,92,
Mongolia,MNG,92,74.44444444,75,77.77777778,50,77.77777778,80,83.33333333,61,83.33333333,70,74.44443333,,82.2222,80,78.88886667
Montenegro,MNE,,57.77777778,,67.77777778,70,67.77777778,65,72.22222222,65,75.55555556,65,72.22223333,65,72.22223333,65,76.6667
Morocco,MAR,75,77.77777778,100,75.55555556,100,72.22222222,100,78.88888889,100,78.88888889,,81.11113333,100,84.44446667,100,76.66663333
Mozambique,MOZ,7,72.22222222,40,72.22222222,30,77.77777778,43,77.77777778,,74.44444444,71,72.22223333,,71.1111,80,68.8889
Myanmar,MMR,66,52.22222222,87,51.11111111,100,48.88888889,100,50,100,46.66666667,90,55.55553333,90,55.55553333,35,64.4444
Namibia,NAM,,52.22222222,,57.77777778,,56.66666667,,54.44444444,65,48.88888889,,47.7778,52,58.88893333,43,56.66666667
Nauru,NRU,85,,,,,,,,26,,,,,,,
Nepal,NPL,14,64.44444444,65,63.33333333,40,66.66666667,66,61.11111111,70,65.55555556,80,72.22223333,80,70.00003333,20,73.33333333
Netherlands,NLD,,,75,,70,,80,,80,,90,,90,,90,
New Zealand,NZL,92,,87,,100,,100,,100,,100,,100,,100,
Nicaragua,NIC,,75.55555556,75,71.11111111,80,68.88888889,90,65.55555556,90,65.55555556,100,70,100,70,100,68.8889
Niger,NER,,67.77777778,,71.11111111,,70,80,72.22222222,,67.77777778,90,71.11113333,80,71.11113333,100,72.22223333
